month,begin_balance,sched_principal,prepayment,total_principal,interest,total_cash,end_balance,CPR,SMM
229,10179447.007807042,-91906.59821202038,52825.70339594693,-39080.89481607345,43432.30723331005,4351.412417236599,10218527.902623115,0.06,0.005143012831822946
230,10218527.902623115,-92073.34336323562,53027.55451191746,-39045.78885131816,43599.05238452529,4553.2635332071295,10257573.691474434,0.06,0.005143012831822946
231,10257573.691474434,-92239.93872900124,53229.224307112294,-39010.714421888944,43765.64775029092,4754.933328401974,10296584.405896323,0.06,0.005143012831822946
232,10296584.405896323,-92406.38444386798,53430.712944410014,-38975.67149945797,43932.093465157646,4956.421965699679,10335560.07739578,0.06,0.005143012831822946
233,10335560.07739578,-92572.68064226565,53632.02058654288,-38940.66005572277,44098.38966355533,5157.72960783256,10374500.737451503,0.06,0.005143012831822946
234,10374500.737451503,-92738.82745850341,53833.14739609699,-38905.68006240642,44264.53647979308,5358.856417386662,10413406.417513909,0.06,0.005143012831822946
235,10413406.417513909,-92904.82502676967,54034.09353551239,-38870.731491257284,44430.534048059344,5559.80255680206,10452277.149005165,0.06,0.005143012831822946
236,10452277.149005165,-93070.67348113237,54234.859167083196,-38835.814314049174,44596.38250242204,5760.5681883728685,10491112.963319214,0.06,0.005143012831822946
237,10491112.963319214,-93236.37295553897,54435.44445295774,-38800.928502581235,44762.081976828646,5961.1534742474105,10529913.891821796,0.06,0.005143012831822946
238,10529913.891821796,-93401.92358381665,54635.84955513871,-38766.07402867794,44927.63260510633,6161.55857642839,10568679.965850474,0.06,0.005143012831822946
239,10568679.965850474,-93567.32549967236,54836.07463548326,-38731.250864189096,45093.03452096203,6361.783656772932,10607411.216714663,0.06,0.005143012831822946
240,10607411.216714663,-93732.57883669289,55036.11985570313,-38696.45898098976,45258.28785798256,6561.828876992804,10646107.675695654,0.06,0.005143012831822946
241,10646107.675695654,-93897.68372834512,55235.985377364836,-38661.69835098028,45423.39274963479,6761.694398654508,10684769.374046635,0.06,0.005143012831822946
242,10684769.374046635,-94062.64030797596,55435.67136188974,-38626.96894608622,45588.34932926564,6961.380383179421,10723396.342992721,0.06,0.005143012831822946
243,10723396.342992721,-94227.4487088126,55635.17797055418,-38592.27073825843,45753.15773010228,7160.88699184385,10761988.61373098,0.06,0.005143012831822946
244,10761988.61373098,-94392.1090639625,55834.50536448966,-38557.60369947284,45917.818085252184,7360.214385779342,10800546.217430454,0.06,0.005143012831822946
245,10800546.217430454,-94556.62150641359,56033.65370468292,-38522.96780173067,46082.33052770327,7559.362725972598,10839069.185232185,0.06,0.005143012831822946
246,10839069.185232185,-94720.98616903432,56232.623151976084,-38488.36301705824,46246.69519032399,7758.33217326575,10877557.548249243,0.06,0.005143012831822946
247,10877557.548249243,-94885.20318457377,56431.41386706679,-38453.78931750698,46410.91220586344,7957.122888356462,10916011.33756675,0.06,0.005143012831822946
248,10916011.33756675,-95049.2726856618,56630.02601050836,-38419.24667515344,46574.98170695147,8155.735031798031,10954430.584241904,0.06,0.005143012831822946
249,10954430.584241904,-95213.19480480911,56828.45974270984,-38384.73506209927,46738.903826098795,8354.168763999522,10992815.319304004,0.06,0.005143012831822946
250,10992815.319304004,-95376.96967440742,57026.71522393621,-38350.254450471206,46902.67869569709,8552.424245225884,11031165.573754476,0.06,0.005143012831822946
251,11031165.573754476,-95540.59742672942,57224.792614308506,-38315.804812420916,47066.3064480191,8750.501635598186,11069481.378566897,0.06,0.005143012831822946
252,11069481.378566897,-95704.07819392909,57422.69207380387,-38281.38612012522,47229.78721521876,8948.40109509354,11107762.764687022,0.06,0.005143012831822946
253,11107762.764687022,-95867.41210804162,57620.4137622558,-38246.998345785825,47393.121129331295,9146.12278354547,11146009.763032809,0.06,0.005143012831822946
254,11146009.763032809,-96030.59930098365,57817.95783935418,-38212.64146162947,47556.30832227332,9343.666860643847,11184222.404494438,0.06,0.005143012831822946
255,11184222.404494438,-96193.63990455327,58015.324464645455,-38178.31543990782,47719.34892584294,9541.03348593512,11222400.719934346,0.06,0.005143012831822946
256,11222400.719934346,-96356.5340504302,58212.51379753277,-38144.02025289743,47882.24307171988,9738.222818822447,11260544.740187244,0.06,0.005143012831822946
257,11260544.740187244,-96519.28187017591,58409.52599727603,-38109.75587289988,48044.990891465575,9935.235018565698,11298654.496060144,0.06,0.005143012831822946
258,11298654.496060144,-96681.8834952336,58606.36122299214,-38075.52227224146,48207.592516523284,10132.070244281822,11336730.018332386,0.06,0.005143012831822946
259,11336730.018332386,-96844.33905692851,58803.019633655036,-38041.319423273475,48370.048078218184,10328.728654944709,11374771.33775566,0.06,0.005143012831822946
260,11374771.33775566,-97006.64868646782,58999.501388095865,-38007.14729837195,48532.35770775748,10525.21040938553,11412778.485054031,0.06,0.005143012831822946
261,11412778.485054031,-97168.81251494086,59195.80664500306,-37973.0058699378,48694.52153623053,10721.515666292733,11450751.49092397,0.06,0.005143012831822946
262,11450751.49092397,-97330.83067331926,59391.93556292257,-37938.89511039669,48856.53969460894,10917.644584212248,11488690.386034366,0.06,0.005143012831822946
263,11488690.386034366,-97492.70329245695,59587.88830025787,-37904.81499219908,49018.41231374663,11113.597321547553,11526595.201026564,0.06,0.005143012831822946
264,11526595.201026564,-97654.43050309035,59783.66501527017,-37870.76548782018,49180.139524380014,11309.374036559835,11564465.966514384,0.06,0.005143012831822946
265,11564465.966514384,-97816.01243583838,59979.2658660785,-37836.746569759875,49341.72145712804,11504.974887368167,11602302.713084145,0.06,0.005143012831822946
266,11602302.713084145,-97977.44922120268,60174.691010659866,-37802.758210542816,49503.158242492354,11700.400031949539,11640105.471294688,0.06,0.005143012831822946
